Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Credit Card No,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1,3,2010-10-13,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35.0,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,378762753832202,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2010-10-20
49,293,2012-10-01,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,344426396112775,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2012-10-02
50,293,2012-10-01,High,27,244.57,0.01,Regular Air,46.7075,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,341673823253911,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2012-10-03
80,483,2011-07-10,High,30,4965.759499999999,0.08,Regular Air,1198.971,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,342201601987838,Technology,Telephones and Communication,R380,Small Box,0.58,2011-07-12
85,515,2010-08-28,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,373788745031251,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2010-08-30
86,515,2010-08-28,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,343749546279363,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2010-08-30
97,613,2011-06-17,High,12,93.54,0.03,Regular Air,-54.0385,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,377128839244716,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2011-06-17
98,613,2011-06-17,High,22,905.08,0.09,Regular Air,127.7,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,344794591217271,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,2011-06-18
103,643,2011-03-24,High,21,2781.82,0.07,Express Air,-695.26,138.14,35.0,Monica Federle,Nunavut,Nunavut,Corporate,347425309250240,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,2011-03-25
107,678,2010-02-26,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,341245864971584,Office Supplies,Paper,Xerox 198,Small Box,0.38,2010-02-26
127,807,2010-11-23,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,376056262206467,Office Supplies,Paper,Xerox 1980,Small Box,0.4,2010-11-24
128,807,2010-11-23,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2.0,Neola Schneider,Nunavut,Nunavut,Home Office,377176681088137,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,2010-11-24
134,868,2012-06-08,Not Specified,32,716.84,0.0,Regular Air,134.72,21.78,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,343179840435828,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2012-06-09
135,868,2012-06-08,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,370260266298860,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,2012-06-10
